2025-05-06 07:03:11 status half-configured libnvidia-common-570-server:all 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:11 status unpacked libnvidia-common-570-server:all 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:12 status half-installed libnvidia-common-570-server:all 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:12 status unpacked libnvidia-common-570-server:all 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:12 upgrade libnvidia-gl-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:12 status half-configured libnvidia-gl-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:12 status unpacked libnvidia-gl-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:12 status half-installed libnvidia-gl-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:13 status unpacked libnvidia-gl-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:13 install linux-modules-6.11.0-25-generic:amd64 <none> 6.11.0-25.25~24.04.1
2025-05-06 07:03:13 status half-installed linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:14 status unpacked linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:14 install linux-image-6.11.0-25-generic:amd64 <none> 6.11.0-25.25~24.04.1
2025-05-06 07:03:14 status half-installed linux-image-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:14 status unpacked linux-image-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:14 install linux-signatures-nvidia-6.11.0-25-generic:amd64 <none> 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 status half-installed linux-signatures-nvidia-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 status unpacked linux-signatures-nvidia-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 install linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 <none> 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 status half-installed linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 status unpacked linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:14 install nvidia-firmware-570-server-570.133.20:amd64 <none> 570.133.20-0ubuntu0.24.04.1
